BHK,project,Location,City,Total sqft,price_sqft,price
3 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,984,"30,000",2.95 Cr
2 BHK Apartment,Ekdanta 24 KaratKurla,Kurla,Mumbai,598,"25,000",1.50 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,738,"22,000",1.62 Cr
3 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,644,"7,000",45.08 L
2 BHK Apartment,Mayfair The ViewVikhroli,Vikhroli,Mumbai,582,"28,000",1.63 Cr
2 BHK Apartment,Puraniks City Sector 1Neral,Neral,Mumbai,427,"6,000",25.62 L
3 BHK Apartment,Jewel CrestMahim,Mahim,Mumbai,1130,"48,000",5.42 Cr
2 BHK Apartment,Aplite Greenstone HeritageFort,Fort,Mumbai,671,"55,000",3.69 Cr
3 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,917,"12,000",1.10 Cr
1 BHK Independent House,VBHC 47 Rowland ParkPalghar,Palghar,Mumbai,701,"8,000",56.08 L
1 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,387,"20,000",77.40 L
1 BHK Apartment,A Plus Golden VanVangani,Vangani,Mumbai,417,"25,000",1.04 Cr
1 BHK Apartment,Lashkaria PearlJogeshwari West,Jogeshwari West,Mumbai,333,"25,000",83.25 L
2 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,638,"20,000",1.28 Cr
1 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,425,"25,000",1.06 Cr
2 BHK Apartment,Nrose Northern HillsDahisar,Dahisar,Mumbai,623,"20,000",1.25 Cr
2 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,501,"16,000",80.16 L
2 BHK Apartment,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,771,"25,000",1.93 Cr
3 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,938,"12,000",1.13 Cr
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,287,"8,000",22.96 L
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,2215,"12,000",2.66 Cr
3 BHK Apartment,Sanghvi InfeniaSantacruz East,Santacruz East,Mumbai,778,"45,000",3.50 Cr
3 BHK Apartment,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,821,"25,000",2.05 Cr
1 BHK Apartment,Om GM Thakur CityPalghar,Palghar,Mumbai,565,"8,000",45.20 L
1 BHK Apartment,Royal HeritageVangani,Vangani,Mumbai,395,"25,000",98.75 L
1 BHK Apartment,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,590,"8,000",47.20 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,230,"35,000",80.50 L
1 BHK Apartment,Gold Plaza Rangari HeightsMazagaon,Mazagaon,Mumbai,425,"25,000",1.06 Cr
1 BHK Apartment,V K LAL VKLAL VISHNU PHASE IDahisar,Dahisar,Mumbai,396,"20,000",79.20 L
2 BHK Apartment,Unimont AurumKarjat,Karjat,Mumbai,755,"25,000",1.89 Cr
2 BHK Apartment,Neelkanth Valley IIKhopoli,Khopoli,Mumbai,428,"25,000",1.07 Cr
1 BHK Apartment,KP KrishnaGoregaon East,Goregaon East,Mumbai,485,"24,000",1.16 Cr
1 BHK Apartment,Jindal AvenuePanvel,Panvel,Mumbai,261,"10,000",26.10 L
1 BHK Apartment,Kalyan ViharKalyan West,Kalyan West,Mumbai,477,"10,000",47.70 L
2 BHK Apartment,Arihant Arihant EnclaveAndheri East,Andheri East,Mumbai,655,"28,000",1.83 Cr
1 BHK Apartment,Bombay CastleDronagiri,Dronagiri,Mumbai,428,"25,000",1.07 Cr
2 BHK Apartment,Shakuntala Shree Puram TownshipUmroli,Umroli,Mumbai,950,"25,000",2.38 Cr
1 BHK Apartment,Viva VedantaVirar,Virar,Mumbai,527,"5,000",26.35 L
1 BHK Apartment,Parijas ZenithKalyan East,Kalyan East,Mumbai,500,"9,000",45.00 L
1 BHK Apartment,Sai Shrushti VatikaThane West,Thane West,Mumbai,409,"18,000",73.62 L
2 BHK Apartment,Qualitas La LuxuriaShahapur,Shahapur,Mumbai,653,"25,000",1.63 Cr
1 BHK Apartment,Vardhan HeightsChembur,Chembur,Mumbai,320,"30,000",96.00 L
3 BHK Apartment,Riddhi Siddhi ImperialTaloja,Taloja,Mumbai,928,"25,000",2.32 Cr
1 BHK Apartment,Kiran Mansarovar ResidencyDombivali,Dombivali,Mumbai,410,"12,000",49.20 L
1 BHK Apartment,Sudarshan Sudarshan Lands EndMalad West,Malad West,Mumbai,469,"22,000",1.03 Cr
1 BHK Apartment,Sai Buildcon Lake View HeightsVasai,Vasai,Mumbai,575,"8,000",46.00 L
1 RK Studio Apartment,Anant ResidencyPanvel,Panvel,Mumbai,263,"10,000",26.30 L
1 BHK Apartment,Space Eternia Space Karjat,Karjat,Mumbai,427,"25,000",1.07 Cr
1 BHK Apartment,Vaastu AdarshUlwe,Ulwe,Mumbai,590,"9,000",53.10 L
1,,Badlapur East,Mumbai,525,"25,000",1.31 Cr
1 BHK Apartment,Sadguru NakshtraTitwala,Titwala,Mumbai,442,"25,000",1.10 Cr
1 BHK Apartment,Nexus ParkDiva,Diva,Mumbai,715,"24,000",1.72 Cr
2 BHK Apartment,Tajjodin Taj RegencyKamothe,Kamothe,Mumbai,628,"11,000",69.08 L
2 BHK Apartment,Raymond Raymond Realty TenX HabitatThane West,Thane West,Mumbai,515,"18,000",92.70 L
4 BHK Apartment,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,1300,"18,000",2.34 Cr
1 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,740,"6,000",44.40 L
1 BHK Apartment,Sri Garden Avenue KVirar,Virar,Mumbai,445,"5,000",22.25 L
1 BHK Apartment,Roswalt RayDahisar,Dahisar,Mumbai,410,"20,000",82.00 L
1 BHK Apartment,Labdhi GardensNeral,Neral,Mumbai,321,"6,000",19.26 L
2 BHK Apartment,Konark Zen GardensKandivali West,Kandivali West,Mumbai,644,"24,000",1.55 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,670,"20,000",1.34 Cr
2 BHK Apartment,Siddhivinayak AnayaDronagiri,Dronagiri,Mumbai,650,"25,000",1.62 Cr
3 BHK Apartment,Kalpataru WoodsvillePowai,Powai,Mumbai,1239,"38,000",4.71 Cr
2 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,542,"20,000",1.08 Cr
2 BHK Apartment,Luv Concept RiversideTaloja,Taloja,Mumbai,585,"25,000",1.46 Cr
1 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,343,"7,000",24.01 L
2 BHK Apartment,Romell AllureBorivali East,Borivali East,Mumbai,567,"16,000",90.72 L
2 BHK Apartment,Thanekar CivicBadlapur West,Badlapur West,Mumbai,520,"7,000",36.40 L
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,522,"30,000",1.57 Cr
3 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,917,"30,000",2.75 Cr
1 BHK Apartment,Ekdanta 24 KaratKurla,Kurla,Mumbai,476,"25,000",1.19 Cr
3 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,999,"22,000",2.20 Cr
1 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,320,"7,000",22.40 L
1 BHK Apartment,Puraniks City Sector 1Neral,Neral,Mumbai,329,"6,000",19.74 L
2 BHK Apartment,Aplite Greenstone HeritageFort,Fort,Mumbai,739,"55,000",4.06 Cr
3 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,917,"12,000",1.10 Cr
2 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,592,"20,000",1.18 Cr
2 BHK Apartment,A Plus Golden VanVangani,Vangani,Mumbai,489,"25,000",1.22 Cr
1 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,435,"20,000",87.00 L
2 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,540,"25,000",1.35 Cr
R,,Thane West,Mumbai,1000,"18,000",1.80 Cr
2 BHK Apartment,Sadguru NakshtraTitwala,Titwala,Mumbai,598,"25,000",1.50 Cr
1 BHK Apartment,Nexus ParkDiva,Diva,Mumbai,699,"24,000",1.68 Cr
1 RK Studio Apartment,Nexus ParkDiva,Diva,Mumbai,465,"24,000",1.12 Cr
1 BHK Apartment,Nexus ParkDiva,Diva,Mumbai,713,"24,000",1.71 Cr
1 BHK Apartment,Tajjodin Taj RegencyKamothe,Kamothe,Mumbai,515,"11,000",56.65 L
2 BHK Apartment,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,679,"18,000",1.22 Cr
3 BHK Apartment,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,887,"18,000",1.60 Cr
2 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1045,"6,000",62.70 L
1 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,690,"6,000",41.40 L
2 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1085,"6,000",65.10 L
2 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1060,"6,000",63.60 L
1 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,795,"6,000",47.70 L
2 BHK Apartment,Sri Garden Avenue KVirar,Virar,Mumbai,692,"5,000",34.60 L
1 BHK Apartment,Sri Garden Avenue KVirar,Virar,Mumbai,487,"5,000",24.35 L
1 BHK Apartment,Roswalt RayDahisar,Dahisar,Mumbai,440,"20,000",88.00 L
2 BHK Apartment,Roswalt RayDahisar,Dahisar,Mumbai,650,"20,000",1.30 Cr
2 BHK Apartment,Raymond Raymond Realty TenX HabitatThane West,Thane West,Mumbai,644,"18,000",1.16 Cr
2 BHK Apartment,Nexus ParkDiva,Diva,Mumbai,936,"24,000",2.25 Cr
1 RK Studio Apartment,Nexus ParkDiva,Diva,Mumbai,445,"24,000",1.07 Cr
1 BHK Apartment,Labdhi GardensNeral,Neral,Mumbai,408,"6,000",24.48 L
1 BHK Apartment,Konark Zen GardensKandivali West,Kandivali West,Mumbai,398,"24,000",95.52 L
2 BHK Apartment,Konark Zen GardensKandivali West,Kandivali West,Mumbai,632,"24,000",1.52 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,625,"20,000",1.25 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,580,"20,000",1.16 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,710,"20,000",1.42 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,618,"20,000",1.24 Cr
2 BHK Apartment,Kalpataru WoodsvillePowai,Powai,Mumbai,770,"38,000",2.93 Cr
3 BHK Apartment,Kalpataru WoodsvillePowai,Powai,Mumbai,1232,"38,000",4.68 Cr
2 BHK Apartment,Kalpataru WoodsvillePowai,Powai,Mumbai,767,"38,000",2.91 Cr
1 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,374,"20,000",74.80 L
1 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,425,"20,000",85.00 L
1 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,416,"20,000",83.20 L
1 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,438,"20,000",87.60 L
1 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,302,"7,000",21.14 L
2 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,514,"7,000",35.98 L
2 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,455,"7,000",31.85 L
2 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,651,"7,000",45.57 L
2 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,568,"7,000",39.76 L
1 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,421,"7,000",29.47 L
1 BHK Apartment,Thanekar CivicBadlapur West,Badlapur West,Mumbai,368,"7,000",25.76 L
2 BHK Apartment,Thanekar CivicBadlapur West,Badlapur West,Mumbai,485,"7,000",33.95 L
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,834,"30,000",2.50 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,841,"30,000",2.52 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,825,"30,000",2.48 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,775,"30,000",2.33 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,528,"30,000",1.58 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,511,"30,000",1.53 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,739,"30,000",2.22 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,507,"30,000",1.52 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,506,"30,000",1.52 Cr
2 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,684,"30,000",2.05 Cr
2 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,617,"30,000",1.85 Cr
1 BHK Apartment,Ekdanta 24 KaratKurla,Kurla,Mumbai,447,"25,000",1.12 Cr
3 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,1150,"22,000",2.53 Cr
1 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,501,"22,000",1.10 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,623,"22,000",1.37 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,631,"22,000",1.39 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,744,"22,000",1.64 Cr
3 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,868,"10,000",86.80 L
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,687,"10,000",68.70 L
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,636,"10,000",63.60 L
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,691,"10,000",69.10 L
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,674,"10,000",67.40 L
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,680,"10,000",68.00 L
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,631,"10,000",63.10 L
3 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,862,"10,000",86.20 L
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,682,"10,000",68.20 L
2 BHK Apartment,Kalpataru Park RivieraPanvel,Panvel,Mumbai,616,"10,000",61.60 L
1 BHK Apartment,Puraniks City Sector 1Neral,Neral,Mumbai,368,"6,000",22.08 L
2 BHK Apartment,SHREE KRISHNA PinnacleChembur,Chembur,Mumbai,735,"30,000",2.21 Cr
2 BHK Apartment,Siddhivinayak Siddhivinayak GauravTaloja,Taloja,Mumbai,990,"25,000",2.48 Cr
1 BHK Apartment,Siddhivinayak Siddhivinayak GauravTaloja,Taloja,Mumbai,695,"25,000",1.74 Cr
2 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,576,"12,000",69.12 L
2 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,576,"12,000",69.12 L
1 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,433,"12,000",51.96 L
1 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,433,"12,000",51.96 L
2 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,694,"12,000",83.28 L
2 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,694,"12,000",83.28 L
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,"12,000",2.20 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,"12,000",2.20 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,"12,000",2.20 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1835,"12,000",2.20 Cr
2 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1245,"12,000",1.49 Cr
2 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1245,"12,000",1.49 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1745,"12,000",2.09 Cr
3 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1745,"12,000",2.09 Cr
2 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1335,"12,000",1.60 Cr
2 BHK Apartment,Varsha Balaji ParkKharghar,Kharghar,Mumbai,1335,"12,000",1.60 Cr
2 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,542,"7,000",37.94 L
1 BHK Apartment,Kalpataru Vivant South Wing BAndheri East,Andheri East,Mumbai,424,"28,000",1.19 Cr
2 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,451,"7,000",31.57 L
1 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,330,"7,000",23.10 L
1 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,326,"7,000",22.82 L
2 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,513,"7,000",35.91 L
2 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,613,"20,000",1.23 Cr
1 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,405,"20,000",81.00 L
1 RK Studio Apartment,A Plus Golden VanVangani,Vangani,Mumbai,241,"25,000",60.25 L
2 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,770,"7,000",53.90 L
2 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,790,"7,000",55.30 L
1 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,540,"7,000",37.80 L
1 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,605,"7,000",42.35 L
1 BHK Apartment,A Plus Golden VilleBadlapur West,Badlapur West,Mumbai,430,"7,000",30.10 L
2 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,646,"20,000",1.29 Cr
1 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,323,"20,000",64.60 L
2 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,595,"25,000",1.49 Cr
1 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,418,"25,000",1.04 Cr
2 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,584,"25,000",1.46 Cr
1 BHK Apartment,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,444,"28,000",1.24 Cr
1 BHK Apartment,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,390,"28,000",1.09 Cr
1 BHK Apartment,Hirani ShantidhamVikhroli,Vikhroli,Mumbai,408,"28,000",1.14 Cr
3 BHK Apartment,Nrose Northern HillsDahisar,Dahisar,Mumbai,1093,"20,000",2.19 Cr
2 BHK Apartment,Nrose Northern HillsDahisar,Dahisar,Mumbai,701,"20,000",1.40 Cr
1 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,437,"16,000",69.92 L
2 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,619,"16,000",99.04 L
1 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,434,"16,000",69.44 L
1 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,385,"16,000",61.60 L
1 BHK Apartment,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,477,"16,000",76.32 L
1 BHK Apartment,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,584,"16,000",93.44 L
2 BHK Apartment,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,712,"16,000",1.14 Cr
2 BHK Apartment,B G Shirke Teenmurty SummitBorivali East,Borivali East,Mumbai,871,"16,000",1.39 Cr
1 RK Studio Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,502,"7,000",35.14 L
1 BHK Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,635,"7,000",44.45 L
1 BHK Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,535,"7,000",37.45 L
1 BHK Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,565,"7,000",39.55 L
1 RK Studio Apartment,A Plus Golden CornerBadlapur West,Badlapur West,Mumbai,380,"7,000",26.60 L
3 BHK Apartment,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,1292,"25,000",3.23 Cr
2 BHK Apartment,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,758,"25,000",1.90 Cr
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,345,"7,000",24.15 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,352,"7,000",24.64 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,294,"7,000",20.58 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,366,"7,000",25.62 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,333,"7,000",23.31 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,358,"7,000",25.06 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,372,"7,000",26.04 L
1 BHK Apartment,A Plus Golden VedaBadlapur West,Badlapur West,Mumbai,380,"7,000",26.60 L
1 BHK Apartment,B G Shirke Monte Verita North AnnexeBorivali East,Borivali East,Mumbai,380,"16,000",60.80 L
2 BHK Apartment,B G Shirke Monte Verita North AnnexeBorivali East,Borivali East,Mumbai,764,"16,000",1.22 Cr
2 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,708,"12,000",84.96 L
3 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,923,"12,000",1.11 Cr
2 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,694,"12,000",83.28 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,401,"8,000",32.08 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,440,"8,000",35.20 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,334,"8,000",26.72 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,383,"8,000",30.64 L
2 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1275,"12,000",1.53 Cr
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1875,"12,000",2.25 Cr
2 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1415,"12,000",1.70 Cr
4 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,3295,"12,000",3.95 Cr
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1890,"12,000",2.27 Cr
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1855,"12,000",2.23 Cr
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,2025,"12,000",2.43 Cr
2 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,1400,"12,000",1.68 Cr
4 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,3405,"12,000",4.09 Cr
2 BHK Apartment,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,662,"25,000",1.66 Cr
1 BHK Apartment,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,438,"25,000",1.09 Cr
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,280,"8,000",22.40 L
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,278,"8,000",22.24 L
1 BHK Apartment,Royal HeritageVangani,Vangani,Mumbai,410,"25,000",1.02 Cr
1 BHK Apartment,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,550,"8,000",44.00 L
2 BHK Apartment,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,760,"8,000",60.80 L
1 BHK Apartment,Shree Karma HeightsVasai,Vasai,Mumbai,685,"8,000",54.80 L
2 BHK Apartment,Shree Karma HeightsVasai,Vasai,Mumbai,1100,"8,000",88.00 L
3,,Dombivali East,Mumbai,1595,"12,000",1.91 Cr
2 BHK Apartment,Reputed Builder Swapna ShilpaNo41Chembur,Chembur,Mumbai,570,"30,000",1.71 Cr
1 BHK Apartment,PNK Poonam Sagar ComplexMira Road East,Mira Road East,Mumbai,580,"12,000",69.60 L
2,,Badlapur East,Mumbai,1000,"25,000",2.50 Cr
1 BHK Apartment,Chandiwala Pearl HeightAndheri West,Andheri West,Mumbai,534,"35,000",1.87 Cr
1 BHK Apartment,Reputed Builder Shiv KalaVasai east,Vasai east,Mumbai,555,"7,000",38.85 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"35,000",5.60 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"35,000",2.28 Cr
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"35,000",5.60 Cr
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,246,"35,000",86.10 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,503,"35,000",1.76 Cr
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,514,"35,000",1.80 Cr
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,323,"35,000",1.13 Cr
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,237,"35,000",82.95 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,275,"35,000",96.25 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,216,"35,000",75.60 L
1,,Neral,Mumbai,460,"6,000",27.60 L
1 RK Studio Apartment,Nirmiti Rajmata ComplexBhiwandi,Bhiwandi,Mumbai,300,"6,000",18.00 L
1 BHK Apartment,Nirvana Wollywood Phase IIIWada,Wada,Mumbai,507,"35,000",1.77 Cr
2,,Dadar East,Mumbai,750,"45,000",3.38 Cr
1,,Colaba,Mumbai,635,"25,000",1.59 Cr
2 BHK Apartment,Marathon GalaxyMulund West,Mulund West,Mumbai,978,"25,000",2.44 Cr
